client_id,referrer_code,city,postal_code,latitude,longitude,initial_visit_date,month,year,product_count
156,Referrer_0,Bolton,L7E2R3,43.869673,-79.751541,01/11/2014,11,2014,2
157,Referrer_0,Bolton,L7E2R3,43.869673,-79.751541,01/11/2014,11,2014,2
70,LOYAL CLIENT,Brampton,L6P2Y1,43.782898,-79.682903,03/08/2014,8,2014,4
146,LOYAL CLIENT,Brampton,L6P0Z3,43.781126,-79.673815,08/01/2014,1,2014,1
147,LOYAL CLIENT,Brampton,L6P0Z3,43.781126,-79.673815,08/01/2014,1,2014,2
290,MEDIA,Brampton,L6P3C8,43.79205,-79.679668,28/10/2014,10,2014,2
280,MEDIA,Brampton,L6Y2W9,43.662722,-79.739409,31/05/2014,5,2014,1
208,OTHER CLIENTS,Brampton,L6P3H1,43.789494,-79.679475,28/11/2014,11,2014,1
208,OTHER CLIENTS,Brampton,L6P3H1,43.789494,-79.679475,28/11/2014,11,2014,1
209,OTHER CLIENTS,Brampton,L6P3H1,43.789494,-79.679475,22/10/2014,10,2014,1
209,OTHER CLIENTS,Brampton,L6P3H1,43.789494,-79.679475,22/10/2014,10,2014,1
210,OTHER CLIENTS,Brampton,L6P3H1,43.789494,-79.679475,22/10/2014,10,2014,1
210,OTHER CLIENTS,Brampton,L6P3H1,43.789494,-79.679475,22/10/2014,10,2014,1
211,OTHER CLIENTS,Brampton,L6P3H1,43.789494,-79.679475,22/10/2014,10,2014,1
211,OTHER CLIENTS,Brampton,L6P3H1,43.789494,-79.679475,22/10/2014,10,2014,1
15,OTHER CLIENTS,Brampton,L6P2N4,43.777111,-79.679876,02/10/2014,10,2014,1
325,OTHER CLIENTS,Brampton,L6P3N6,43.789057,-79.668946,10/06/2014,6,2014,1
160,Referrer_0,Brampton,L6P3C1,43.775664,-79.681091,24/11/2014,11,2014,0
22,Referrer_0,Brampton,L6P1H2,43.77589,-79.662339,21/11/2014,11,2014,1
113,Referrer_0,Brampton,L6P1M2,43.773423,-79.674178,30/08/2014,8,2014,1
112,Referrer_0,Brampton,L6P1M2,43.773423,-79.674178,16/05/2014,5,2014,1
306,Referrer_1,Brampton,L6P1M4,43.774147,-79.6726,02/10/2014,10,2014,2
307,Referrer_1,Brampton,L6P1M4,43.774147,-79.6726,02/10/2014,10,2014,1
303,Referrer_1,Brampton,L6P1M4,43.774147,-79.6726,27/02/2014,2,2014,1
305,Referrer_1,Brampton,L6P1M4,43.774147,-79.6726,27/02/2014,2,2014,1
151,Referrer_10,Brampton,L6P3C9,43.793235,-79.680757,26/11/2014,11,2014,1
152,Referrer_10,Brampton,L6P3C9,43.793235,-79.680757,18/10/2014,10,2014,2
279,Referrer_10,Brampton,L6R3H7,43.767543,-79.745384,17/06/2014,6,2014,1
75,Referrer_11,Brampton,L6P2H1,43.77578,-79.677308,25/11/2014,11,2014,1
73,Referrer_11,Brampton,L6P2H1,43.77578,-79.677308,23/11/2014,11,2014,1
74,Referrer_11,Brampton,L6P2H1,43.77578,-79.677308,22/11/2014,11,2014,0
275,Referrer_12,Brampton,L6P1T4,43.782306,-79.659199,04/11/2014,11,2014,2
276,Referrer_12,Brampton,L6P1T4,43.782306,-79.659199,04/11/2014,11,2014,1
289,Referrer_14,Brampton,L6P3C8,43.79205,-79.679668,17/11/2014,11,2014,0
287,Referrer_14,Brampton,L6P3C8,43.79205,-79.679668,25/10/2014,10,2014,0
288,Referrer_14,Brampton,L6P3C8,43.79205,-79.679668,21/10/2014,10,2014,1
286,Referrer_14,Brampton,L6P3C8,43.79205,-79.679668,03/08/2014,8,2014,1
71,Referrer_16,Brampton,L6P2Y1,43.782898,-79.682903,03/08/2014,8,2014,1
129,Referrer_2,Brampton,L6P2G2,43.76955,-79.692515,13/11/2014,11,2014,1
130,Referrer_2,Brampton,L6P2G2,43.76955,-79.692515,24/10/2014,10,2014,1
340,Referrer_25,Brampton,L6R1E2,43.742334,-79.756026,30/09/2014,9,2014,1
348,Referrer_33,Brampton,L7A2J2,43.690714,-79.820895,17/09/2014,9,2014,1
312,Referrer_34,Brampton,L6Y3Z4,43.651919,-79.72821,17/06/2014,6,2014,1
349,Referrer_38,Brampton,L6P0H1,43.793117,-79.720542,11/01/2014,1,2014,1
313,Referrer_39,Brampton,L6Z3S9,43.718122,-79.78684,17/06/2014,6,2014,0
272,Referrer_4,Brampton,L6P2R4,43.767031,-79.666754,26/11/2014,11,2014,2
273,Referrer_4,Brampton,L6P2R4,43.767031,-79.666754,26/11/2014,11,2014,2
265,Referrer_4,Brampton,L6P3V4,43.793355,-79.672432,11/10/2014,10,2014,1
264,Referrer_4,Brampton,L6P3V4,43.793355,-79.672432,18/06/2014,6,2014,2
350,Referrer_42,Brampton,L6P1M9,43.68333,-79.661902,27/11/2014,11,2014,1
294,Referrer_5,Brampton,L6P3J6,43.784366,-79.673008,28/03/2014,3,2014,1
296,Referrer_5,Brampton,L6P3J6,43.784366,-79.673008,28/03/2014,3,2014,1
295,Referrer_5,Brampton,L6P3J6,43.784366,-79.673008,24/02/2014,2,2014,1
31,Referrer_6,Brampton,L6P1N9,43.774495,-79.676838,18/10/2014,10,2014,1
30,Referrer_6,Brampton,L6P1N9,43.774495,-79.676838,07/03/2014,3,2014,2
254,Referrer_8,Brampton,L6P2V9,43.771381,-79.674884,25/10/2014,10,2014,1
321,Referrer_9,Brampton,L6P3E9,43.791504,-79.686104,21/08/2014,8,2014,0
322,Referrer_9,Brampton,L6P3E9,43.791504,-79.686104,08/06/2014,6,2014,0
323,Referrer_9,Brampton,L6P2R3,43.779093,-79.671255,08/06/2014,6,2014,0
183,REHAB CLINIC,Brampton,L6P3K8,43.783239,-79.672907,19/11/2014,11,2014,1
182,REHAB CLINIC,Brampton,L6P3K8,43.783239,-79.672907,01/11/2014,11,2014,1
115,REHAB CLINIC,Brampton,L6P1M2,43.773423,-79.674178,10/09/2014,9,2014,1
216,REHAB CLINIC,Brampton,L6R3A3,43.755428,-79.753754,10/08/2014,8,2014,1
217,REHAB CLINIC,Brampton,L6R3A3,43.755428,-79.753754,10/08/2014,8,2014,0
274,REHAB CLINIC,Brampton,L6Y0K2,43.647451,-79.758979,19/07/2014,7,2014,2
173,REHAB CLINIC,Brampton,L6V2P9,43.697958,-79.766451,21/04/2014,4,2014,2
181,REHAB CLINIC,Brampton,L6P3K8,43.783239,-79.672907,04/03/2014,3,2014,1
114,REHAB CLINIC,Brampton,L6P1M2,43.773423,-79.674178,08/01/2014,1,2014,3
110,WALK-IN,Brampton,L6P2R6,43.76722,-79.665868,29/11/2014,11,2014,0
102,WALK-IN,Brampton,L6P1P1,43.783455,-79.663173,22/11/2014,11,2014,0
101,WALK-IN,Brampton,L6P3J1,43.788468,-79.676128,19/11/2014,11,2014,1
98,WALK-IN,Brampton,L6P3S1,43.791223,-79.673024,14/11/2014,11,2014,1
100,WALK-IN,Brampton,L6P3J1,43.788468,-79.676128,13/11/2014,11,2014,1
53,WALK-IN,Brampton,L6R0S6,43.754102,-79.775312,25/10/2014,10,2014,1
108,WALK-IN,Brampton,L6Y2V2,43.662728,-79.757946,25/10/2014,10,2014,1
109,WALK-IN,Brampton,L6Y2V2,43.662728,-79.757946,25/10/2014,10,2014,1
29,WALK-IN,Brampton,L6P1N9,43.774495,-79.676838,18/10/2014,10,2014,1
97,WALK-IN,Brampton,L6S1S5,43.720631,-79.725453,29/09/2014,9,2014,1
99,WALK-IN,Brampton,L6P2X5,43.783231,-79.682102,11/08/2014,8,2014,1
69,WALK-IN,Brampton,L6P2Y1,43.782898,-79.682903,03/08/2014,8,2014,1
68,WALK-IN,Brampton,L6P2Y1,43.782898,-79.682903,10/07/2014,7,2014,1
36,WALK-IN,Brampton,L6P2L4,43.780033,-79.69885,20/06/2014,6,2014,1
63,WALK-IN,Brampton,L6P1R2,43.771062,-79.670396,20/06/2014,6,2014,0
58,WALK-IN,Brampton,L6R3L4,43.771245,-79.75195,19/06/2014,6,2014,2
59,WALK-IN,Brampton,L6R3L4,43.771245,-79.75195,19/06/2014,6,2014,2
60,WALK-IN,Brampton,L6R3L4,43.771245,-79.75195,14/06/2014,6,2014,5
256,WALK-IN,Brampton,L6T3X6,43.719836,-79.714774,13/06/2014,6,2014,1
54,WALK-IN,Brampton,L6R0S6,43.754102,-79.775312,10/06/2014,6,2014,1
33,WALK-IN,Brampton,L6P2L4,43.780033,-79.69885,31/05/2014,5,2014,1
35,WALK-IN,Brampton,L6P2L4,43.780033,-79.69885,31/05/2014,5,2014,2
51,WALK-IN,Brampton,L6R0S6,43.754102,-79.775312,11/04/2014,4,2014,2
32,WALK-IN,Brampton,L6P2L4,43.780033,-79.69885,09/04/2014,4,2014,1
34,WALK-IN,Brampton,L6P2L4,43.780033,-79.69885,09/04/2014,4,2014,1
44,WALK-IN,Brampton,L6P1L7,43.774799,-79.673847,28/03/2014,3,2014,1
95,WALK-IN,Brampton,L6P3H5,43.788534,-79.678605,03/03/2014,3,2014,1
117,WALK-IN,Brampton,L6P2P4,43.778682,-79.696665,12/02/2014,2,2014,0
18,WALK-IN,Brampton,L6P1S4,43.768574,-79.668612,08/01/2014,1,2014,1
131,LOYAL CLIENT,Mississauga,L4T1W8,43.718656,-79.642868,06/06/2014,6,2014,1
132,LOYAL CLIENT,Mississauga,L4T1W8,43.718656,-79.642868,06/06/2014,6,2014,1
221,LOYAL CLIENT,Mississauga,L5C2G5,43.559868,-79.661236,17/01/2014,1,2014,1
193,Referrer_7,Mississauga,L5J4B7,43.521676,-79.637078,22/11/2014,11,2014,1
192,Referrer_7,Mississauga,L5N6V6,43.577033,-79.781483,15/11/2014,11,2014,0
190,Referrer_7,Mississauga,L5N6V6,43.577033,-79.781483,08/10/2014,10,2014,1
191,Referrer_7,Mississauga,L5N6V6,43.577033,-79.781483,08/10/2014,10,2014,1
184,REHAB CLINIC,Mississauga,L5R3E5,43.604152,-79.666142,12/02/2014,2,2014,1
145,LOYAL CLIENT,North York,M3N2P4,43.769119,-79.514722,24/04/2014,4,2014,1
229,Referrer_23,North York,M9M2G4,43.747778,-79.562325,14/10/2014,10,2014,2
230,Referrer_23,North York,M9M2G4,43.747778,-79.562325,14/10/2014,10,2014,2
316,OTHER CLIENTS,Thornhill,L4J6E8,43.79447,-79.465262,15/01/2014,1,2014,2
317,OTHER CLIENTS,Thornhill,L4J6E8,43.79447,-79.465262,15/01/2014,1,2014,2
194,Referrer_11,Woodbridge,L4L3V4,43.790573,-79.607904,21/10/2014,10,2014,0
257,WALK-IN,York,M6N3Z6,43.67001,-79.48625,28/02/2014,2,2014,2
